id,class,order,family,genus,species,authority,commonNameEnglish,taxonomyType,uniqueIdentifier,FFI_species_name
2021548,Mammalia,Carnivora,Canidae,Canis,familiaris,,Domestic Dog,biological,3d80f1d6-b1df-4966-9ff4-94053c7a902a,Domestic Dog
2013885,Aves,Passeriformes,Pycnonotidae,Alophoixus,ochraceus,"Moore, 1854",,biological,624c99ad-48fc-48d0-b534-c02c5bef2889,Ochraceous Bulbul
2004298,Mammalia,Carnivora,Felidae,Prionailurus,bengalensis,"Kerr, 1792",Leopard Cat,biological,6f5cfe6e-4d2f-4a39-b7eb-cffe6aef7de1,Leopard Cat
2021251,Mammalia,Rodentia,Muridae,,,,Muridae Family,biological,9880b662-dc21-453b-aa2f-dd97338f623b,Murid
2019996,Mammalia,Carnivora,Mustelidae,Melogale,,,Melogale Species,biological,a6bdb282-2d0c-4f63-866b-e60ffa410d19,Ferret-badger
2007396,Aves,Cuculiformes,Cuculidae,Phaenicophaeus,tristis,"Lesson, 1830",Green-billed Malkoha,biological,c2bcb50c-2bc0-4565-9d31-78ea6498075d,Green-billed Malkoha
2012885,Aves,Passeriformes,Corvidae,Temnurus,temnurus,"Temminck, 1825",Ratchet-tailed Treepie,biological,1b2a3e16-faf8-46b1-9e40-83f7d0f3bfb6,Ratchet-tailed Treepie
2005516,Mammalia,Scandentia,Tupaiidae,Tupaia,belangeri,"Wagner, 1841",Northern Treeshrew,biological,9847f2cd-5cbd-463d-af48-d0bc6bba8272,Northern Treeshrew
2014516,Aves,Passeriformes,Leiotrichidae,Garrulax,monileger,"Riley, 1930",Lesser Necklaced Laughingthrush,biological,cfd634c7-a7b2-4fc2-b4c5-698aec23df3c,Lesser Necklaced Laughingthrush
2021559,Insecta,Lepidoptera,,,,,Butterflies and Moths,biological,4a7126ec-2b0b-426d-bafd-356219eb487a,Moth
2001928,Mammalia,Carnivora,Herpestidae,Herpestes,urva,"Hodgson, 1836",Crab-eating Mongoose,biological,18188307-3bda-4990-84eb-893863202d22,Crab-eating Mongoose
2010428,Aves,Passeriformes,Pittidae,Hydrornis,oatesi,"Hume, 1873",Rusty-naped Pitta,biological,a808a3bc-1c36-42ed-8ffd-604ee2dedc6f,Rusty-naped Pitta
2014535,Aves,Passeriformes,Leiotrichidae,Garrulax,vassali,"Ogilvie-Grant, 1906",White-cheeked Laughingthrush,biological,885a2c01-de9f-4a4e-b4c6-0d9f3c030985,White-cheeked Laughingthrush
2012701,Aves,Passeriformes,Rhipiduridae,Rhipidura,albicollis,"Vieillot, 1818",,biological,0f3f4083-15ca-4a13-96e2-32a5170e3a23,White-throated Fantail
2001398,Mammalia,Rodentia,Sciuridae,Dremomys,rufigenis,"Blanford, 1878",Red-cheeked Squirrel,biological,ac068717-6079-4aec-a5ab-99e8d14da40b,Asian Red-cheeked Squirrel
2000328,Mammalia,Rodentia,Hystricidae,Atherurus,macrourus,"Linnaeus, 1758",Asiatic Brush-tailed Porcupine,biological,60d52271-6958-4cc9-be30-57c83d1dc79b,Asiatic Brush-tailed Porcupine
2002468,Mammalia,Primates,Cercopithecidae,Macaca,arctoides,"I. Geoffroy, 1831",Stump-tailed Macaque,biological,225c3eb1-eb87-4e93-bfaf-bbcb5ea1585c,Stump-tailed Macaque
2021411,Mammalia,Chiroptera,,,,,Bat,biological,a45906ce-5938-433a-bc82-4d0e60d2ebab,Bat
2015211,Aves,Passeriformes,Muscicapidae,Niltava,grandis,"Blyth, 1842",Large Niltava,biological,26c274b4-7511-43fd-94ad-813c262eb8c6,Large Niltava
2014346,Aves,Passeriformes,Timaliidae,Erythrogenys,hypoleucos,"Blyth, 1844",Large Scimitar-babbler,biological,0dfcde34-ab07-4f03-9ad1-682adc4326fc,Large Scimitar-babbler
2010430,Aves,Passeriformes,Pittidae,Hydrornis,soror,"Wardlaw-Ramsay, 1881",Blue-rumped Pitta,biological,c7939461-118f-4b63-8ae4-38071dbcf892,Blue-rumped Pitta
